countriesAndTerritories;label;year;total_deaths
Belgium;Total;2021;112265
Belgium;Males;2021;56751
Belgium;Females;2021;55514
Bulgaria;Total;2021;148635
Bulgaria;Males;2021;77072
Bulgaria;Females;2021;71563
Czechia;Total;2021;139154
Czechia;Males;2021;73116
Czechia;Females;2021;66038
Denmark;Total;2021;57034
Denmark;Males;2021;29109
Denmark;Females;2021;27925
Germany;Total;2021;1016581
Germany;Males;2021;512179
Germany;Females;2021;504402
Estonia;Total;2021;18721
Estonia;Males;2021;8881
Estonia;Females;2021;9840
Ireland;Total;2021;34259
Ireland;Males;2021;17925
Ireland;Females;2021;16334
Greece;Total;2021;143586
Greece;Males;2021;73243
Greece;Females;2021;70343
Spain;Total;2021;447877
Spain;Males;2021;229706
Spain;Females;2021;218171
France;Total;2021;659050
France;Males;2021;332354
France;Females;2021;326696
Croatia;Total;2021;62642
Croatia;Males;2021;31126
Croatia;Females;2021;31516
Italy;Total;2021;706166
Italy;Males;2021;344134
Italy;Females;2021;362032
Cyprus;Total;2021;6943
Cyprus;Males;2021;3689
Cyprus;Females;2021;3254
Latvia;Total;2021;34471
Latvia;Males;2021;16120
Latvia;Females;2021;18351
Lithuania;Total;2021;47463
Lithuania;Males;2021;22730
Lithuania;Females;2021;24733
Luxembourg;Total;2021;4467
Luxembourg;Males;2021;2280
Luxembourg;Females;2021;2187
Hungary;Total;2021;155034
Hungary;Males;2021;76825
Hungary;Females;2021;78209
Malta;Total;2021;4067
Malta;Males;2021;2020
Malta;Females;2021;2047
Netherlands;Total;2021;170051
Netherlands;Males;2021;85247
Netherlands;Females;2021;84804
Austria;Total;2021;89875
Austria;Males;2021;44749
Austria;Females;2021;45126
Poland;Total;2021;518700
Poland;Males;2021;268008
Poland;Females;2021;250692
Portugal;Total;2021;124175
Portugal;Males;2021;62365
Portugal;Females;2021;61810
Romania;Total;2021;333028
Romania;Males;2021;173363
Romania;Females;2021;159665
Slovenia;Total;2021;23006
Slovenia;Males;2021;11703
Slovenia;Females;2021;11303
Slovakia;Total;2021;72963
Slovakia;Males;2021;37620
Slovakia;Females;2021;35343
Finland;Total;2021;57580
Finland;Males;2021;29125
Finland;Females;2021;28455
Sweden;Total;2021;88565
Sweden;Males;2021;44221
Sweden;Females;2021;44344
Iceland;Total;2021;2333
Iceland;Males;2021;1175
Iceland;Females;2021;1158
Liechtenstein;Total;2021;265
Liechtenstein;Males;2021;133
Liechtenstein;Females;2021;132
Norway;Total;2021;41881
Norway;Males;2021;20540
Norway;Females;2021;21341
Switzerland;Total;2021;70559
Switzerland;Males;2021;34781
Switzerland;Females;2021;35778
United Kingdom;Total;2021;0
United Kingdom;Males;2021;0
United Kingdom;Females;2021;0
Montenegro;Total;2021;7451
Montenegro;Males;2021;3983
Montenegro;Females;2021;3468
Albania;Total;2021;21086
Albania;Males;2021;11718
Albania;Females;2021;9368
Serbia;Total;2021;124265
Serbia;Males;2021;63409
Serbia;Females;2021;60856
Andorra;Total;2021;0
Andorra;Males;2021;0
Andorra;Females;2021;0
Armenia;Total;2021;21570
Armenia;Males;2021;11455
Armenia;Females;2021;10115
Georgia;Total;2021;0
Georgia;Males;2021;0
Georgia;Females;2021;0
Belgium;Total;2022;44913
Belgium;Males;2022;22438
Belgium;Females;2022;22475
Bulgaria;Total;2022;47132
Bulgaria;Males;2022;24619
Bulgaria;Females;2022;22513
Czechia;Total;2022;39008
Czechia;Males;2022;19840
Czechia;Females;2022;19168
Denmark;Total;2022;22631
Denmark;Males;2022;11591
Denmark;Females;2022;11040
Germany;Total;2022;383305
Germany;Males;2022;191989
Germany;Females;2022;191316
Estonia;Total;2022;7939
Estonia;Males;2022;3712
Estonia;Females;2022;4227
Ireland;Total;2022;12422
Ireland;Males;2022;6458
Ireland;Females;2022;5964
Greece;Total;2022;51960
Greece;Males;2022;26147
Greece;Females;2022;25813
Spain;Total;2022;192826
Spain;Males;2022;98124
Spain;Females;2022;94698
France;Total;2022;267864
France;Males;2022;133653
France;Females;2022;134211
Croatia;Total;2022;21231
Croatia;Males;2022;10398
Croatia;Females;2022;10833
Italy;Total;2022;180061
Italy;Males;2022;86646
Italy;Females;2022;93415
Cyprus;Total;2022;2657
Cyprus;Males;2022;1376
Cyprus;Females;2022;1281
Latvia;Total;2022;13055
Latvia;Males;2022;6145
Latvia;Females;2022;6910
Lithuania;Total;2022;18920
Lithuania;Males;2022;8937
Lithuania;Females;2022;9983
Luxembourg;Total;2022;1565
Luxembourg;Males;2022;784
Luxembourg;Females;2022;781
Hungary;Total;2022;50790
Hungary;Males;2022;24669
Hungary;Females;2022;26121
Malta;Total;2022;1312
Malta;Males;2022;661
Malta;Females;2022;651
Netherlands;Total;2022;69210
Netherlands;Males;2022;34216
Netherlands;Females;2022;34994
Austria;Total;2022;31177
Austria;Males;2022;15530
Austria;Females;2022;15647
Poland;Total;2022;177866
Poland;Males;2022;90372
Poland;Females;2022;87494
Portugal;Total;2022;47388
Portugal;Males;2022;23616
Portugal;Females;2022;23772
Romania;Total;2022;97833
Romania;Males;2022;51384
Romania;Females;2022;46449
Slovenia;Total;2022;9128
Slovenia;Males;2022;4491
Slovenia;Females;2022;4637
Slovakia;Total;2022;19974
Slovakia;Males;2022;10154
Slovakia;Females;2022;9820
Finland;Total;2022;22163
Finland;Males;2022;11048
Finland;Females;2022;11115
Sweden;Total;2022;37643
Sweden;Males;2022;18714
Sweden;Females;2022;18929
Iceland;Total;2022;757
Iceland;Males;2022;373
Iceland;Females;2022;384
Liechtenstein;Total;2022;118
Liechtenstein;Males;2022;62
Liechtenstein;Females;2022;56
Norway;Total;2022;18647
Norway;Males;2022;9232
Norway;Females;2022;9415
Switzerland;Total;2022;26885
Switzerland;Males;2022;13362
Switzerland;Females;2022;13523
United Kingdom;Total;2022;0
United Kingdom;Males;2022;0
United Kingdom;Females;2022;0
Montenegro;Total;2022;0
Montenegro;Males;2022;0
Montenegro;Females;2022;0
Albania;Total;2022;0
Albania;Males;2022;0
Albania;Females;2022;0
Serbia;Total;2022;38271
Serbia;Males;2022;19547
Serbia;Females;2022;18724
Andorra;Total;2022;0
Andorra;Males;2022;0
Andorra;Females;2022;0
Armenia;Total;2022;5741
Armenia;Males;2022;3027
Armenia;Females;2022;2714
Georgia;Total;2022;0
Georgia;Males;2022;0
Georgia;Females;2022;0
