song_name;song_popularity;song_duration_ms;acousticness;danceability;energy;key;liveness;audio_mode;speechiness;tempo;time_signature;audio_valence
Boulevard of Broken Dreams;73;262333;0.005520000000000001;0.496;0.682;8;0.0589;1;0.0294;167.06;4;0.474
In The End;66;216933;0.0103;0.542;0.853;3;0.10800000000000001;0;0.0498;105.256;4;0.37
Seven Nation Army;76;231733;0.00817;0.737;0.46299999999999997;0;0.255;1;0.0792;123.881;4;0.324
By The Way;74;216933;0.0264;0.451;0.97;0;0.102;1;0.107;122.444;4;0.198
How You Remind Me;56;223826;0.0009539999999999999;0.447;0.7659999999999999;10;0.113;1;0.0313;172.011;4;0.574
Bring Me To Life;80;235893;0.00895;0.316;0.945;4;0.396;0;0.124;18.993.099.999.999.900;4;0.32
Last Resort;81;199893;0.000504;0.581;0.887;4;0.268;0;0.0624;9.057.799.999.999.990;4;0.7240000000000001
Are You Gonna Be My Girl;76;213800;0.00148;0.613;0.953;2;0.152;1;0.0855;105.046;4;0.537
Mr. Brightside;80;222586;0.00108;0.33;0.9359999999999999;1;0.0926;1;0.0917;148.112;4;0.23399999999999999
Sex on Fire;81;203346;0.00172;0.542;0.905;9;0.136;1;0.054000000000000006;153.398;4;0.374
The Middle;78;168253;0.0424;0.629;0.897;2;0.263;1;0.0483;161.944;4;0.93
Numb;63;185586;0.0046;0.496;0.863;9;0.639;1;0.0381;11.001.799.999.999.900;4;0.243
Smooth Criminal;75;209266;0.00434;0.647;0.9640000000000001;9;0.15;0;0.06;12.694.200.000.000.000;4;0.875
Can't Stop;81;269000;0.0179;0.618;0.938;9;0.16699999999999998;1;0.0456;91.455;4;0.875
Chop Suey!;69;210240;0.00035299999999999996;0.42;0.929;7;0.122;0;0.121;127.204;4;0.3
Take Me Out;77;237026;0.00042300000000000004;0.278;0.6759999999999999;9;0.136;1;0.0371;104.545;4;0.494
I Miss You;71;227240;0.0013599999999999999;0.659;0.778;11;0.0841;1;0.0379;110.022;4;0.623
Best of You;62;256600;0.00701;0.37;0.9440000000000001;1;0.135;0;0.0767;130.315;4;0.345
I Write Sins Not Tragedies;77;187613;0.0938;0.5670000000000001;0.795;9;0.114;0;0.134;170.06;4;0.635
Kryptonite;79;233933;0.006640000000000001;0.545;0.865;11;0.168;0;0.0286;99.01;4;0.5429999999999999
The Kill (Bury Me);69;231533;0.0014;0.309;0.912;4;0.5820000000000001;0;0.0646;183.035;3;0.302
Use Somebody;79;230760;0.005520000000000001;0.276;0.715;0;0.201;1;0.0432;137.028;4;0.17300000000000001
No One Knows;13;255066;0.0137;0.518;0.5379999999999999;0;0.141;1;0.0486;170.953;4;0.687
Jerk It Out;62;195666;0.0171;0.58;0.981;8;0.386;0;0.06;134.007;4;0.861
Uprising;77;304840;0.000202;0.602;0.905;2;0.11699999999999999;1;0.0775;128.019;4;0.41100000000000003
Hey There Delilah;79;232533;0.872;0.657;0.29100000000000004;2;0.114;1;0.0293;103.973;4;0.298
Blurry;28;303920;0.0102;0.44;0.932;3;0.142;0;0.0584;157.438;4;0.495
American Idiot;78;176346;2.64e-05;0.38;0.988;1;0.368;1;0.0639;186.113;4;0.769
Welcome to the Black Parade;77;311106;0.00028900000000000003;0.217;0.905;2;0.222;1;0.0752;96.95;4;0.23600000000000002
Gives You Hell;71;213106;0.0156;0.7140000000000001;0.725;4;0.0726;1;0.0402;99.988;4;0.59
All My Life;11;262733;0.000194;0.5820000000000001;0.597;5;0.517;1;0.0512;167.738;4;0.674
Like a Stone;77;293960;0.00797;0.614;0.568;7;0.0997;0;0.0276;10.784.899.999.999.900;4;0.516
It's Been Awhile;65;264706;0.0018899999999999998;0.509;0.774;6;0.14300000000000002;1;0.0338;116.529;4;0.0824
I Hate Everything About You;75;231480;0.00461;0.498;0.83;6;0.139;0;0.0421;8.934.200.000.000.000;4;0.45299999999999996
Rollin' (Air Raid Vehicle);74;213760;0.00506;0.599;0.932;9;0.26899999999999996;1;0.18;96.234;4;0.6920000000000001
Fat Lip;74;178266;0.000618;0.574;0.9109999999999999;9;0.0769;1;0.0715;98.075;4;0.573
The Pretender;11;269373;0.000917;0.433;0.9590000000000001;9;0.027999999999999997;1;0.0431;172.984;4;0.365
Savior;73;242280;0.00164;0.5489999999999999;0.93;5;0.39;0;0.0487;112.447;4;0.526
Bodies;74;201960;0.0034700000000000004;0.6559999999999999;0.932;4;0.14400000000000002;0;0.0708;130.936;4;0.544
Sugar; We're Goin Down;79;229093;0.00898;0.499;0.0;7;-47.410.000.000.000.000;1;0.0794;161.977;4
Last Nite;70;193373;0.0223;0.624;0.899;0;0.0975;1;0.0295;104.055;4;0.797
Through Glass;60;282946;0.0417;0.545;0.753;3;0.389;0;0.036000000000000004;10.575.399.999.999.900;4;0.434
The Diary of Jane - Single Version;69;200546;5,53E+11;0.374;0.961;10;0.138;0;0.0851;167.032;4;0.35700000000000004
Down With the Sickness;73;279213;0.0009960000000000001;0.695;0.8759999999999999;3;0.106;0;0.0553;89.954;4;0.941
Wish You Were Here;62;212733;0.0006309999999999999;0.24600000000000002;0.768;9;0.102;1;0.0387;169.873;4;0.35
Youth Of The Nation;72;256240;0.00834;0.563;0.86;8;0.39;1;0.0621;97.867;4;0.517
Vertigo;57;194520;0.000153;0.391;0.831;2;0.141;1;0.0613;139.946;4;0.6829999999999999
Miss Murder;71;206586;0.000213;0.309;0.875;1;0.113;1;0.0488;143.526;4;0.725
I Bet You Look Good On The Dancefloor;63;173680;0.00225;0.535;0.948;6;0.376;0;0.0356;10.318.299.999.999.900;4;0.778
Steady; As She Goes;64;215266;0.0132;0.524;0.00921;9;-4.563;1;0.12;123.669;4
Falling Away from Me;71;270920;0.00014;0.46799999999999997;0.769;4;0.271;1;0.040999999999999995;104.102;4;0.17
Crawling In The Dark;61;175026;0.000295;0.5920000000000001;0.932;6;0.138;0;0.0885;93.675;4;0.698
I Stand Alone;67;246040;4,78E+11;0.213;0.93;0;0.126;1;0.0671;16.922.099.999.999.900;4;0.386
Woman;63;176306;5.1e-05;0.21899999999999997;0.9520000000000001;2;0.157;1;0.17600000000000002;11.288.600.000.000.000;1;0.172
Show Me How to Live;72;277840;0.000336;0.433;0.8540000000000001;9;0.162;1;0.0483;89.4;4;0.368
The Red;71;238400;0.000671;0.509;0.843;1;0.348;0;0.0488;140.055;3;0.332
Remedy;70;207213;0.00018;0.546;0.9590000000000001;8;0.0584;1;0.08199999999999999;127.831;4;0.41600000000000004
Plug In Baby;65;218000;6.94e-06;0.408;0.965;2;0.11;1;0.05;136.018;4;0.349
Change (In the House of Flies) - In The House Of Flies LP Version;69;299533;0.00024900000000000004;0.26899999999999996;0.853;7;0.11800000000000001;0;0.0854;14.158.100.000.000.000;4;0.179
Judith;66;247266;3.32e-05;0.365;0.894;11;0.267;0;0.0572;82.305;3;0.31
MIA (feat. Drake);94;210367;0.0143;0.818;0.54;6;0.099;0;0.0544;97.064;4;0.174
Taki Taki (with Selena Gomez; Ozuna & Cardi B);98;212500;0.153;0.841;3.33e-06;1;-4.206;0;0.22899999999999998;95.948;4
White Boi;59;185282;0.0983;0.83;0.49700000000000005;1;0.0906;1;0.052000000000000005;127.965;4;0.634
Just Wanna Love You (feat. J. Balvin);73;199230;0.0557;0.687;0.7659999999999999;11;0.146;1;0.054000000000000006;94.973;4;0.303
Beautiful (feat. Camila Cabello);94;180000;0.34600000000000003;0.638;0.7170000000000001;2;0.105;1;0.0337;100.027;4;0.249
Celoso;87;179693;0.35200000000000004;0.746;0.703;4;0.331;0;0.107;166.043;4;0.667
Good Vibes;73;235720;0.0348;0.823;0.63;7;0.0964;1;0.0797;100.04;4;0.184
